original_id,namn,ansvarigt_lan,kommuner,antal_arter,arter,fiskekartan_arter,antal_sjoar_survey,antal_vattendrag_survey,kallor,url_fvof,url_fiskekartan
1317,Anundsjöns fvof,Västernorrland,Örnsköldsvik,15,Abborre; Benlöja; Elritsa; Flodkräfta; Gädda; Harr; Lake; Lax; Mört; Nejonöga; Simpa (Berg-; Sten-; Stensimpa; Stäm; Öring,Abborre; Gädda,0,8,fiskekartan; slu_provfiske,www.vattenagarna.se/vasternorrlands-lans-fiskerattsagareforbund/?o=479,https://fiskekartan.se/?fv=Anundsjöns%20fvof&sp=false
1687,Anviksjöns fvof,Jämtland,"Bräcke, Östersund",12,Abborre; Elritsa; Gädda; Harr; Lake; Mört; Röding; Sik; Simpa (Berg-; Sten-; Ål; Öring,Abborre; Elritsa; Gädda; Harr; Lake; Mört; Röding; Sik; Ål; Öring,0,1,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Anviksjöns%20fvof&sp=false
947,Aplungens fvof,Värmland,"Sunne, Arvika",9,Abborre; Benlöja; Braxen; Bäcknejonöga; Elritsa; Gädda; Gärs; Mört; Öring,,1,4,slu_provfiske,www.vattenagarna.se/varmlands-lans-fiskevardsforbund/?o=749,https://fiskekartan.se/?fv=Aplungens%20fvof&sp=false
516,Arasjöns-Östra Rammsjös fvof,Kronoberg,Tingsryd,11,Abborre; Björkna; Braxen; Gädda; Lake; Mört; Sarv; Sik; Siklöja; Sutare; Ål,,3,0,slu_provfiske; gbif,,https://fiskekartan.se/?fv=Arasjöns-Östra%20Rammsjös%20fvof&sp=false
73,Arbrå-Underviks fvof,Gävleborg,"Ovanåker, Ljusdal, Bollnäs, Hudiksvall",22,Abborre; Benlöja; Braxen; Bäcknejonöga; Bäckröding; Elritsa; Flodkräfta; Gädda; Gärs; Gös; Harr; Kräfta obestämd; Lake; Mört; Nejonöga; Nors; Sik; Siklöja; Simpa (Berg-; Sten-; Stensimpa; Öring,,4,19,slu_provfiske,,https://fiskekartan.se/?fv=Arbrå-Underviks%20fvof&sp=false
619,Are sjö-Feresjöns fvof,Kronoberg,Växjö,9,Abborre; Braxen; Gädda; Gärs; Mört; Sik; Siklöja; Sutare; Ål,Gädda,2,0,fiskekartan; slu_provfiske; gbif,,https://fiskekartan.se/?fv=Are%20sjö-Feresjöns%20fvof&sp=false
494,Are sjös fvof,Kronoberg,"Uppvidinge, Växjö",3,Abborre; Gädda; Mört,Abborre; Gädda; Mört,1,0,fiskekartan; slu_provfiske,,https://fiskekartan.se/?fv=Are%20sjös%20fvof&sp=false
644,Arjeplogsströmmarnas fvof,Norrbotten,Arjeplog,10,Abborre; Bergsimpa; Elritsa; Gädda; Harr; Lake; Sik; Spigg obestämd; Stensimpa; Öring,,0,2,slu_provfiske,,https://fiskekartan.se/?fv=Arjeplogsströmmarnas%20fvof&sp=false
1046,Armsjöarnas fvof,Västerbotten,Bjurholm,14,Abborre; Bäcknejonöga; Bäckröding; Elritsa; Gädda; Gärs; Lake; Mört; Nors; Siklöja; Simpa (Berg-; Sten-; Stensimpa; Öring,Abborre; Bäckröding; Gädda; Gärs; Lake; Mört; Nors; Siklöja; Stensimpa; Öring,3,4,fiskekartan; slu_provfiske,www.armsjoarnasfvo.se/,https://fiskekartan.se/?fv=Armsjöarnas%20fvof&sp=false
1088,Arnträsk-Mensträsk fvof,Västerbotten,Norsjö,10,Abborre; Gädda; Gärs; Gös; Harr; Lake; Mört; Sik; Siklöja; Öring,,0,0,gbif,,https://fiskekartan.se/?fv=Arnträsk-Mensträsk%20fvof&sp=false
